Epoch,Generator Loss,Discriminator Loss,FID Score
5,5.322172388091417,2.3607229741333087,0.8479592204093933
10,6.888391430725527,2.1124670996385464,0.566335916519165
15,7.5956420258183,1.9853837691304628,1.025835394859314
20,8.131758661831126,1.8809785053248296,0.535721480846405
25,8.85906013015591,1.8968314029981412,0.9969585537910461
30,8.823701298145382,1.8995592804516064,1.811075210571289
35,9.09151720086022,1.8496234545012569,1.1161490678787231
40,9.49228068934682,1.8527250692362676,0.8680104613304138
45,10.344973940983452,1.7933536953938283,1.258529543876648
50,9.285212782642725,1.7642351651130734,0.6835976243019104
55,9.703699258282361,1.7563223466848779,1.0675036907196045
60,9.88471961875096,1.778591432534825,0.6708450317382812
65,10.568535944994759,1.75912939739959,1.1493911743164062
70,10.977766734559822,1.6896560131131535,0.646790087223053
75,9.88391854330097,1.706110820745873,15.838431358337402
80,11.056190394379598,1.739994561885629,1.6453737020492554
85,10.116154989013282,1.6793305666550347,1.589505672454834
90,10.006459178826997,1.7218990365562536,0.8671557307243347
95,10.738564738837045,1.7384566080844617,0.5288733839988708
100,11.743866286314358,1.6831057343031743,1.1517364978790283
