Epoch,Generator Loss,Discriminator Loss,FID Score
5,0.9392478635244053,0.6738300527758001,0.9648098349571228
10,1.3936152549274743,0.5761671690532314,0.36348867416381836
15,1.6927866245169774,0.46574112582389654,0.4141080975532532
20,1.9886958262194758,0.37509103500477187,0.4744025766849518
25,2.19187957825868,0.37818248905336765,0.5312204957008362
30,2.597454211900911,0.3071338799031799,0.5424374341964722
35,2.7727455201813633,0.26872523515806784,0.4035183787345886
40,2.9523984039835915,0.2396490289484296,0.3644573986530304
45,3.188862926514862,0.21726532684415198,0.655271589756012
50,3.2928485710297704,0.2305292645016747,0.5111465454101562
55,3.5545763028857045,0.17981494580159713,0.7841190099716187
60,3.63445287317876,0.1674550619652814,0.6360958218574524
65,3.8709477225837805,0.137575977827277,1.1144334077835083
70,3.959773497813193,0.14135916275269997,0.641152560710907
75,4.081991602773861,0.1444432080944862,0.7414938807487488
80,3.9536526712310285,0.1095900146571724,0.7073243260383606
85,4.502351210245391,0.09803105500119422,0.5153818726539612
90,4.180942775343385,0.10457479110811754,0.9801189303398132
95,4.812909493970749,0.07925424275710188,0.690163254737854
100,4.531022698906681,0.10623227833243816,0.7007498741149902
